"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",10.5921804589925,0.683023318482594,15.5077874684046,2.42503414406238e-41,9.24866859818105,11.935692319804
"2","bill_length_mm",0.199894280954696,0.0174936464346693,11.4266789203274,8.66112374649431e-26,0.165484150527474,0.234304411381918
"3","speciesChinstrap",-1.93319426437867,0.224160048428805,-8.62416955175074,2.54538647630138e-16,-2.37411871839765,-1.49226981035969
"4","speciesGentoo",-5.10602007725579,0.191424321760233,-26.6738313621991,3.65022541534084e-85,-5.48255311759769,-4.72948703691389
